City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,invercargill,-46.4,168.35,9.45,98,100,3.58,NZ,1712806996
1,plastun,44.7561,136.2939,12.81,37,99,3.53,RU,1712807166
2,edinburgh of the seven seas,-37.0676,-12.3116,17.84,80,100,1.4,SH,1712806958
3,uturoa,-16.7333,-151.4333,29.26,76,20,8.92,PF,1712807168
4,adamstown,-25.066,-130.1015,21.43,83,100,8.11,PN,1712806958
5,el porvenir,13.7617,-87.3458,26.63,78,60,0.85,HN,1712807171
6,cole harbour,44.6724,-63.4751,2.74,86,99,0.72,CA,1712807067
7,isola di capo rizzuto,38.96,17.0933,13.99,74,100,2.67,IT,1712807174
8,ilulissat,69.2167,-51.1,-9.99,67,100,0.0,GL,1712806995
9,nyurba,63.2842,118.3319,-9.57,79,100,5.3,RU,1712807018
10,qaqortoq,60.7167,-46.0333,-6.42,88,93,2.39,GL,1712807135
11,antofagasta,-23.65,-70.4,18.6,90,80,2.12,CL,1712807178
12,punta arenas,-53.15,-70.9167,6.06,81,20,8.23,CL,1712806782
13,kodiak,57.79,-152.4072,2.73,48,0,4.12,US,1712807011
14,iqaluit,63.7506,-68.5145,-3.15,86,100,3.6,CA,1712806981
15,udachny,66.4167,112.4,-20.57,82,90,8.22,RU,1712806955
16,kavieng,-2.5744,150.7967,27.11,83,100,5.19,PG,1712807183
17,hermanus,-34.4187,19.2345,14.33,71,4,8.55,ZA,1712806963
18,bubaque,11.2833,-15.8333,23.77,73,0,5.67,GW,1712806953
19,pampa del infierno,-26.5052,-61.1744,19.02,98,100,4.46,AR,1712807186
20,aasiaat,68.7098,-52.8699,-9.5,82,100,1.75,GL,1712807017
21,mejit,10.2753,170.8646,26.64,76,100,9.83,MH,1712807022
22,nemuro,43.3236,145.575,5.14,69,1,7.46,JP,1712807033
23,holyhead,53.3062,-4.6321,10.96,100,100,8.23,GB,1712807190
24,keflavik,64.0049,-22.5624,3.95,87,75,7.2,IS,1712807019
25,longyearbyen,78.2186,15.6401,-15.09,72,20,6.17,SJ,1712806989
